Package,Is plugin,Android,iOS,macOS,Windows,Linux,Web,Notes
flutter,false,✅,✅,✅,✅,✅,✅,
cupertino_icons,false,✅,✅,✅,✅,✅,✅,
intl,false,✅,✅,✅,✅,✅,✅,
dio,false,✅,✅,✅,✅,✅,✅,
flutter_screenutil,false,✅,✅,✅,✅,✅,✅,
flutter_bloc,false,✅,✅,✅,✅,✅,✅,
dartz,false,✅,✅,✅,✅,✅,✅,
get_it,false,✅,✅,✅,✅,✅,✅,
google_fonts,false,✅,✅,✅,✅,✅,✅,
flutter_svg,false,✅,✅,✅,✅,✅,✅,
octo_image,false,✅,✅,✅,✅,✅,✅,
lottie,false,✅,✅,✅,✅,✅,✅,
mockito,false,✅,✅,✅,✅,✅,✅,
equatable,false,✅,✅,✅,✅,✅,✅,
package_platform_detector,false,✅,✅,✅,✅,✅,✅,
flutter_lints,false,✅,✅,✅,✅,✅,✅,
build_runner,false,✅,✅,✅,✅,✅,✅,
